Processed,Method,URI,Flags
true,GET,http://localhost:9999/,Seed
true,GET,http://localhost:9999/robots.txt,Seed
true,GET,http://localhost:9999/sitemap.xml,Seed
true,GET,http://localhost:9999/faq,
true,GET,http://localhost:9999/contact,
true,GET,http://localhost:9999/wishlist/,
true,GET,http://localhost:9999/cart/view,
true,GET,http://localhost:9999/category/view?id=49,
true,GET,http://localhost:9999/category/view?id=52,
true,GET,http://localhost:9999/category/view?id=51,
true,GET,http://localhost:9999/category/view?id=50,
true,GET,http://localhost:9999/category/view?id=44,
true,GET,http://localhost:9999/category/view?id=48,
true,GET,http://localhost:9999/category/view?id=47,
true,GET,http://localhost:9999/category/view?id=46,
true,GET,http://localhost:9999/category/view?id=45,
true,GET,http://localhost:9999/category/view?id=38,
true,GET,http://localhost:9999/category/view?id=43,
true,GET,http://localhost:9999/category/view?id=42,
true,GET,http://localhost:9999/category/view?id=41,
true,GET,http://localhost:9999/category/view?id=40,
true,GET,http://localhost:9999/category/view?id=39,
true,GET,http://localhost:9999/category/view?id=32,
true,GET,http://localhost:9999/category/view?id=37,
true,GET,http://localhost:9999/category/view?id=36,
true,GET,http://localhost:9999/category/view?id=35,
true,GET,http://localhost:9999/category/view?id=34,
true,GET,http://localhost:9999/category/view?id=33,
true,GET,http://localhost:9999/category/view?id=26,
true,GET,http://localhost:9999/category/view?id=31,
true,GET,http://localhost:9999/category/view?id=30,
true,GET,http://localhost:9999/category/view?id=29,
true,GET,http://localhost:9999/category/view?id=28,
true,GET,http://localhost:9999/category/view?id=27,
true,GET,http://localhost:9999/category/view?id=20,
true,GET,http://localhost:9999/category/view?id=25,
true,GET,http://localhost:9999/category/view?id=24,
true,GET,http://localhost:9999/category/view?id=23,
true,GET,http://localhost:9999/category/view?id=22,
true,GET,http://localhost:9999/category/view?id=21,
true,GET,http://localhost:9999/category/view?id=14,
true,GET,http://localhost:9999/category/view?id=19,
true,GET,http://localhost:9999/category/view?id=18,
true,GET,http://localhost:9999/category/view?id=17,
true,GET,http://localhost:9999/category/view?id=16,
true,GET,http://localhost:9999/category/view?id=15,
true,GET,http://localhost:9999/category/view?id=8,
true,GET,http://localhost:9999/category/view?id=10,
true,GET,http://localhost:9999/category/view?id=9,
